Sr.No,Smiles,Solvent,AbsorptioMax (nm),EmissionMax (nm),Fluorescent labeling,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Weiner
1,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12O,O,355,410,Yes,187.154,0.8375,-2.346,4,1,288
2,CCC(=O)c1ccc2cc(N(C)C)ccc2c1O,O,408,450,Yes,186.146,-0.7405,-2.346,4,0,288
3,CCC(=O)c1ccc2cc(N(C)C)ccc2c1C1COCCO1,C1COCCO1,526,535,Yes,1061.54,24.165,-27.266,6,0,5.59E+04
4,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1O,O,514,553.72,Yes,350.42,4.5981,-7.337,2,0,1522
5,N#Cc1cc2ccc(O)cc2oc1=OO,O,524,555,Yes,350.42,4.5981,-7.337,2,0,1522
6,N#Cc1cc2ccc([O-])cc2oc1=OO,O,350,395,Yes,231.294,2.2846,-2.735,3,0,506
7,CCCCCCCCCCCC#CC#CCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCC#CC#CCCCCCCCCCCCC)C5=OClC(Cl)Cl,ClC(Cl)Cl,361,416,Yes,231.294,2.2846,-2.735,3,0,506
8,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34CC#N,CC#N,367,430,Yes,231.294,2.2846,-2.735,3,0,506
9,[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34CS(C)=O,CS(C)=O,373,451,Yes,231.294,2.2846,-2.735,3,0,506
10,CCN(CC)c1ccc2c(C)cc(=O)oc2c1C1CCCCC1,C1CCCCC1,384,463,Yes,231.294,2.2846,-2.735,3,0,506
11,CCN(CC)c1ccc2c(C)cc(=O)oc2c1CCOC(C)=O,CCOC(C)=O,376,433,Yes,285.264,2.7689,-3.475,3,0,776
12,CCN(CC)c1ccc2c(C)cc(=O)oc2c1CC#N,CC#N,392,479,Yes,285.264,2.7689,-3.475,3,0,776
13,CCN(CC)c1ccc2c(C)cc(=O)oc2c1CCO,CCO,396,501,Yes,285.264,2.7689,-3.475,3,0,776
14,CCN(CC)c1ccc2c(C)cc(=O)oc2c1OCC(O)CO,OCC(O)CO,400,509,Yes,285.264,2.7689,-3.475,3,0,776
15,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1C1CCCCC1,C1CCCCC1,413,524,Yes,285.264,2.7689,-3.475,3,0,776
16,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1CCOC(C)=O,CCOC(C)=O,361,407,Yes,255.316,2.5394,-3.373,3,0,598
17,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1CC#N,CC#N,380,450,Yes,255.316,2.5394,-3.373,3,0,598
18,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1CCO,CCO,387,473,Yes,255.316,2.5394,-3.373,3,0,598
19,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1OCC(O)CO,OCC(O)CO,396,489,Yes,255.316,2.5394,-3.373,3,0,598
20,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3C1CCCCC1,C1CCCCC1,393,455,Yes,309.286,3.0237,-4.113,3,0,892
21,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3CC#N,CC#N,409,501,Yes,309.286,3.0237,-4.113,3,0,892
22,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3CCO,CCO,418,521,Yes,309.286,3.0237,-4.113,3,0,892
23,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3O,O,421,531,Yes,309.286,3.0237,-4.113,3,0,892
24,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3C1CCCCC1,C1CCCCC1,434,546,Yes,309.286,3.0237,-4.113,3,0,892
25,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3CCOC(C)=O,CCOC(C)=O,382,439,Yes,283.248,2.4357,-3.494,3,0,725
26,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3CC#N,CC#N,405,510,Yes,283.248,2.4357,-3.494,3,0,725
